Fecha;CodigoPais;Sucursal;Finance_Fleet;Ops_Fleet;OnRent_
1/1/20;GR;HER;12;0;0
1/1/20;ES;VLT;90;88;88
1/1/20;TR;AYT;277;268;231
1/1/20;PT;OP5;593;516;451
1/1/20;ES;PMI;1837;1329;1198
1/1/20;ES;MAH;12;0;0
1/1/20;IT;CIA;338;315;291
1/1/20;ES;GIB;138;132;114
1/1/20;PT;TER;65;65;38
1/1/20;IT;BDS;179;167;148
1/1/20;ES;QRL;36;36;29
1/1/20;ES;REU;184;156;135
1/1/20;PT;LI5;440;376;342
1/1/20;NZ;CHC;29;28;18
1/1/20;FR;MPL;1;0;0
1/1/20;IT;CAG;300;219;197
1/1/20;ES;ALC;3818;3630;3453
1/1/20;ES;LPA;1482;1458;1373
1/1/20;ES;LEI;211;201;178
1/1/20;FR;NC5;238;216;216
1/1/20;ES;FUE;867;841;781
1/1/20;FR;MRS;501;435;365
1/1/20;PT;OPO;851;779;681
1/1/20;ES;SDR;85;81;69
1/1/20;IT;BRI;276;254;219
1/1/20;ES;CDT;25;25;18
1/1/20;IT;BL5;42;42;42
1/1/20;FR;CDG;220;175;166
1/1/20;ES;MAD;992;929;873
1/1/20;IT;LIN;210;191;176
1/1/20;FR;LYS;156;135;113
1/1/20;ES;BCN;1619;1501;1422
1/1/20;HR;DBV;35;30;16
1/1/20;NZ;AKL;80;72;59
1/1/20;ES;GRX;215;201;184
1/1/20;IT;PMO;319;301;278
1/1/20;ES;AB3;211;2;0
1/1/20;ES;AGP;2569;2436;2363
1/1/20;ES;OVD;131;121;106
1/1/20;FR;BOD;433;405;364
1/1/20;HR;ZAG;164;117;104
1/1/20;ES;MAT;77;76;57
1/1/20;ES;PPM;39;36;32
1/1/20;IT;FCO;775;733;676
1/1/20;FR;NCE;799;679;594
1/1/20;ES;TF5;667;652;604
1/1/20;ES;IB5;104;84;78
1/1/20;GR;ZTH;1;0;0
1/1/20;ES;SVQ;865;830;760
1/1/20;IT;AHO;61;52;46
1/1/20;IT;PM5;90;89;84
1/1/20;FR;MLH;155;138;105
1/1/20;ES;ACE;813;801;752
1/1/20;ES;IBZ;431;351;329
1/1/20;TR;BJV;72;68;56
1/1/20;IT;MXP;525;455;429
1/1/20;ES;XSP;43;42;26
1/1/20;ES;AGT;102;101;74
1/1/20;FR;BIQ;141;125;98
1/1/20;IT;CTA;539;437;390
1/1/20;TR;ESB;93;87;75
1/1/20;PT;LIS;1294;1135;1083
1/1/20;ES;VLC;787;725;679
1/1/20;IT;VRN;134;123;109
1/1/20;PT;FAO;824;656;595
1/1/20;ES;ADE;61;59;51
1/1/20;GR;CHQ;2;0;0
1/1/20;ES;GRO;326;289;269
1/1/20;ES;XRY;248;230;213
1/1/20;IT;MX5;159;159;159
1/1/20;IT;CT5;196;195;195
1/1/20;TR;SAW;251;235;188
1/1/20;IT;ROM;115;112;99
1/1/20;ES;RMU;574;505;450
1/1/20;ES;CEN;13;0;0
1/1/20;FR;TLS;468;440;347
1/1/20;TR;IST;200;185;156
1/1/20;IT;TSF;112;104;94
1/1/20;IT;CI5;47;47;47
1/1/20;IT;BD5;109;109;97
1/1/20;ES;BCT;127;126;99
1/1/20;HR;SPU;61;35;26
1/1/20;ES;ALT;70;70;53
1/1/20;IT;OLB;123;82;68
1/1/20;IT;VCE;191;172;151
1/1/20;ES;TFN;570;546;471
1/1/20;GR;SKG;111;100;80
1/1/20;PT;FNC;353;344;312
1/1/20;IT;SUF;151;137;125
1/1/20;ES;SCQ;180;161;146
1/1/20;IT;PSA;285;273;256
1/1/20;TR;ADB;190;177;137
1/1/20;GR;ATH;347;295;232
1/1/20;IT;FLR;150;134;118
1/1/20;FR;ORY;237;183;156
1/1/20;ES;TFS;1041;1007;942
1/1/20;IT;BGY;472;443;403
1/1/20;IT;VR5;89;84;75
1/1/20;GR;JTR;31;26;12
1/1/20;GR;RH1;1;0;0
1/1/20;ES;BIO;209;201;178
1/1/20;ES;SVT;89;88;79
1/1/20;IT;BLQ;260;241;199
1/1/20;IT;FC5;102;102;102
1/1/20;PT;PDL;150;133;89
1/1/20;GR;EFL;2;0;0
1/1/20;GB;EDI;28;9;1
2/1/20;IT;BDS;178;164;135
2/1/20;ES;SDR;87;83;71
2/1/20;ES;LPA;1482;1456;1407
2/1/20;FR;NC5;277;255;255
2/1/20;ES;REU;180;152;132
2/1/20;FR;TLS;469;439;307
2/1/20;ES;CDT;26;26;20
2/1/20;PT;FNC;353;345;287
2/1/20;GR;ZTH;1;0;0
2/1/20;ES;CEN;13;0;0
2/1/20;ES;IB5;104;83;77
2/1/20;ES;OVD;126;116;95
2/1/20;ES;BCT;126;112;86
2/1/20;IT;CI5;40;40;40
2/1/20;ES;TFN;569;546;441
2/1/20;ES;GIB;137;132;112
2/1/20;IT;FCO;758;716;685
2/1/20;ES;GRX;212;198;176
2/1/20;IT;PMO;325;307;262
2/1/20;ES;RMU;576;511;449
2/1/20;ES;BCN;1623;1486;1392
2/1/20;FR;CDG;219;174;156
2/1/20;ES;MAD;996;929;863
2/1/20;ES;AGP;2579;2460;2355
2/1/20;GB;EDI;28;9;1
2/1/20;NZ;AKL;80;72;59
2/1/20;NZ;CHC;29;28;21
2/1/20;GR;RH1;1;0;0
2/1/20;ES;ADE;61;56;48
2/1/20;FR;NCE;759;635;561
2/1/20;ES;TF5;667;654;613
2/1/20;IT;LIN;211;190;169
2/1/20;IT;AHO;61;53;38
2/1/20;PT;LI5;439;375;335
2/1/20;ES;MAT;74;72;51
2/1/20;GR;HER;12;0;0
2/1/20;FR;BOD;433;408;311
2/1/20;PT;TER;65;65;44
2/1/20;ES;ALC;3808;3618;3415
2/1/20;ES;SVQ;876;846;748
2/1/20;ES;VLT;96;94;80
2/1/20;ES;QRL;33;33;28
2/1/20;IT;CIA;348;322;304
2/1/20;IT;BL5;36;36;36
2/1/20;GR;EFL;2;0;0
2/1/20;IT;VCE;189;169;153
2/1/20;ES;MAH;12;0;0
2/1/20;IT;VRN;134;126;108
