Fecha;CodigoPais;Sucursal;Finance_Fleet;Ops_Fleet;OnRent_
1/12/19;ES;AGT;61;60;36
1/12/19;ES;IB5;195;163;42
1/12/19;IT;BRI;271;238;155
1/12/19;ES;FUE;867;834;549
1/12/19;PT;OPO;775;662;564
1/12/19;IT;FC5;63;63;63
1/12/19;ES;GRO;507;339;214
1/12/19;IT;BD5;110;105;61
1/12/19;FR;LYS;139;123;77
1/12/19;IT;CT5;111;109;109
1/12/19;ES;XRY;275;245;189
1/12/19;IT;MX5;124;124;124
1/12/19;FR;MRS;618;496;296
1/12/19;PT;PDL;165;146;70
1/12/19;NZ;CHC;19;18;4
1/12/19;TR;AYT;304;281;126
1/12/19;GR;SKG;161;113;72
1/12/19;ES;BIO;196;177;117
1/12/19;ES;MAD;1248;1024;765
1/12/19;FR;ORY;328;205;168
1/12/19;ES;IBZ;593;407;250
1/12/19;FR;BOD;524;443;240
1/12/19;HR;SPU;78;44;16
1/12/19;ES;SVT;48;45;33
1/12/19;HR;DBV;105;47;9
1/12/19;NZ;AKL;64;61;12
1/12/19;IT;BGY;505;467;348
1/12/19;HR;ZAG;156;80;57
1/12/19;ES;PPM;39;33;26
1/12/19;GR;JTR;31;26;8
1/12/19;ES;ALT;27;27;16
1/12/19;IT;OLB;187;89;53
1/12/19;IT;PMO;362;337;187
1/12/19;GR;CHQ;2;0;0
1/12/19;PT;FAO;1077;834;602
1/12/19;ES;MAT;67;57;40
1/12/19;IT;ROM;126;122;99
1/12/19;IT;BDS;211;190;141
1/12/19;ES;AB3;501;38;0
1/12/19;FR;MLH;162;140;108
1/12/19;IT;PM5;74;74;68
1/12/19;IT;CTA;605;515;246
1/12/19;PT;OP5;619;533;457
1/12/19;IT;BLQ;296;249;201
1/12/19;ES;MAH;27;0;0
1/12/19;ES;ACE;793;770;593
1/12/19;ES;VLT;112;97;81
1/12/19;ES;REU;246;187;120
1/12/19;TR;SAW;219;194;151
1/12/19;IT;CIA;380;353;323
1/12/19;FR;NC5;331;288;177
1/12/19;ES;LEI;307;265;155
1/12/19;ES;QRL;38;38;29
1/12/19;ES;PMI;2771;1468;846
1/12/19;ES;OVD;159;121;70
1/12/19;IT;SUF;151;137;102
1/12/19;ES;SDR;118;89;58
1/12/19;ES;AGP;3108;2672;2028
1/12/19;ES;TFS;1080;1036;840
1/12/19;ES;ATR;1;0;0
1/12/19;ES;CEN;16;0;0
1/12/19;TR;IST;205;187;128
1/12/19;FR;TLS;510;432;268
1/12/19;IT;VCE;179;167;132
1/12/19;GR;ZTH;1;0;0
1/12/19;PT;FNC;381;365;287
1/12/19;IT;LIN;225;207;160
1/12/19;ES;TFN;538;515;357
1/12/19;ES;SCQ;234;162;98
1/12/19;IT;VR5;92;86;55
1/12/19;PT;LIS;1535;1244;1039
1/12/19;GR;ATH;460;319;222
1/12/19;GB;EDI;322;260;164
1/12/19;ES;RMU;742;644;492
1/12/19;GR;EFL;3;0;0
1/12/19;IT;CI5;27;27;27
1/12/19;ES;BCT;96;91;47
1/12/19;FR;CDG;270;190;152
1/12/19;GR;RH1;8;0;0
1/12/19;ES;BCN;1869;1564;958
1/12/19;IT;TSF;109;102;76
1/12/19;ES;GRX;189;172;140
1/12/19;TR;ADB;209;192;88
1/12/19;IT;FCO;816;737;662
1/12/19;PT;TER;70;70;28
1/12/19;IT;MXP;609;528;421
1/12/19;GR;HER;14;0;0
1/12/19;FR;BIQ;119;109;46
1/12/19;TR;ESB;69;58;40
1/12/19;FR;MPL;3;0;0
1/12/19;FR;NCE;870;646;460
1/12/19;IT;AHO;64;48;29
1/12/19;ES;XSP;40;39;28
1/12/19;ES;SVQ;820;755;560
1/12/19;ES;ALC;4344;3729;2249
1/12/19;ES;GIB;129;121;89
1/12/19;ES;TF5;661;644;411
1/12/19;IT;FLR;159;142;105
1/12/19;ES;VLC;950;741;490
1/12/19;ES;CDT;17;17;8
1/12/19;IT;BL5;27;27;27
1/12/19;ES;LPA;1487;1444;1134
1/12/19;ES;ADE;54;50;43
1/12/19;TR;BJV;90;87;41
1/12/19;IT;PSA;322;292;219
1/12/19;PT;LI5;564;469;361
1/12/19;IT;VRN;105;92;70
1/12/19;IT;CAG;489;226;175
2/12/19;ES;IB5;146;115;40
2/12/19;FR;BOD;509;438;235
2/12/19;ES;MAD;1184;1017;705
2/12/19;GR;JTR;31;26;6
2/12/19;FR;ORY;328;208;172
2/12/19;FR;CDG;266;188;157
2/12/19;IT;PMO;372;351;164
2/12/19;IT;OLB;151;87;59
2/12/19;PT;FAO;1030;829;564
2/12/19;ES;ALT;22;22;17
2/12/19;IT;BGY;508;464;332
2/12/19;ES;GRX;185;172;123
2/12/19;ES;AB3;507;34;0
2/12/19;ES;MAT;67;58;45
2/12/19;ES;VLT;112;97;78
2/12/19;PT;OP5;623;526;404
