CodigoPais;Zona;SucursalAlquiler;Mes;Fecha;Res_CY;Res_LY;Dias_CY;Dias_LY;Rental_rate_rev_CY;Rental_rate_rev_LY;Ancillaries_CY;Ancillaries_LY;SDR_CY;SDR_LY;Origin_App;Brand
BE;Belgium;BRU;2020-02-01;2020-02-01;22;5;194;42;2977,1192;588,186;347,0917;144,2557;206,6116;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-02;32;11;280;41;3931,6139;945,7779;327,2921;130,5606;16,5289;50;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-03;37;23;197;69;3186,7192;1570,3981;330,5694;650,3773;82,6478;49,5867;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-04;32;16;131;68;2630,7805;1466,902;481,7704;177,6918;83,0578;16,5289;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-05;35;21;127;76;2359,4479;1697,0964;494,1772;485,8823;83,0578;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-06;28;10;106;38;2011,3465;723,0468;336,3767;134,7146;16,5289;16,5289;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-07;28;15;101;64;1908,1564;1141,9724;185,9395;363,6345;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-08;20;6;93;20;1500,7891;450,2842;14,876;68,596;16,5289;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-09;7;10;39;45;571,75;817,1943;0;203,316;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-10;28;33;127;118;2164,41;2302,89;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-11;19;14;67;56;1350,13;1125,86;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-12;14;3;79;9;1356,67;184,02;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-13;13;8;38;28;826,51;522,28;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-14;19;18;79;85;1375,29;1310,75;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-15;15;3;55;23;1015,23;368,28;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-16;10;4;66;16;1000,33;285,6;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-17;17;6;90;24;1556,12;422,76;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-18;4;5;16;23;316,12;344,14;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-19;9;4;29;11;614,24;253,67;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-20;10;8;38;31;684,98;528,25;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-21;11;7;43;23;767,28;435,65;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-22;23;2;110;10;1857,14;164,79;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-23;16;2;107;9;1722,13;118,45;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-24;12;5;73;31;1115,31;449,23;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-25;7;2;18;14;382,9;171,3;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-26;9;7;37;32;684,1;504,61;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-27;13;5;36;35;780,04;507,57;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-28;5;9;10;28;271,57;556,3;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;2020-02-01;2020-02-29;2;4;6;13;113,05;289,45;0;0;0;0;Rentway;Interrent
BE;Belgium;CRL;2020-02-01;2020-02-01;18;9;135;37;1973,8955;662,1327;214,832;152,066;0;0;Rentway;Interrent
BE;Belgium;CRL;2020-02-01;2020-02-02;14;6;82;23;1214,1201;376,2541;166,0869;131,018;10,58;165,3;Rentway;Interrent
BE;Belgium;CRL;2020-02-01;2020-02-03;23;28;92;86;1696,7908;1953,0081;350,3844;548,7456;23,18;81,7289;Rentway;Interrent
BE;Belgium;CRL;2020-02-01;2020-02-04;18;31;74;84;1308,4035;2781,747;418,9973;1259,1235;16,5289;933,06;Rentway;Interrent
BE;Belgium;CRL;2020-02-01;2020-02-05;21;28;134;100;1922,445;2752,724;503,3159;979,3296;39,9889;24,8989;Rentway;Interrent
BE;Belgium;CRL;2020-02-01;2020-02-06;20;13;72;52;1382,16;877,3633;329,7151;263,6218;16,5289;496,2778;Rentway;Interrent
BE;Belgium;CRL;2020-02-01;2020-02-07;22;20;74;56;1522,7321;1283,2591;288,4339;495,8444;16,5289;-19,4911;Rentway;Interrent
BE;Belgium;CRL;2020-02-01;2020-02-08;16;17;64;71;1162,1848;1225,3138;0;493,37;0;16,53;Rentway;Interrent
BE;Belgium;CRL;2020-02-01;2020-02-09;4;7;19;28;300,42;538,083;0;339,6935;0;3,86;Rentway;Interrent
BE;Belgium;CRL;2020-02-01;2020-02-10;21;14;79;38;1474,16;1055,54;0;0;0;0;Rentway;Interrent
BE;Belgium;CRL;2020-02-01;2020-02-11;10;7;62;21;869,86;519,08;0;0;0;0;Rentway;Interrent
BE;Belgium;CRL;2020-02-01;2020-02-12;14;0;40;0;904,02;0;0;0;0;0;Rentway;Interrent
BE;Belgium;CRL;2020-02-01;2020-02-13;17;9;93;34;1434,22;536,8;0;0;0;0;Rentway;Interrent
BE;Belgium;CRL;2020-02-01;2020-02-14;20;15;52;46;1187,43;794,84;0;0;0;0;Rentway;Interrent
BE;Belgium;CRL;2020-02-01;2020-02-15;10;9;33;40;593,95;576,59;0;0;0;0;Rentway;Interrent
BE;Belgium;CRL;2020-02-01;2020-02-16;11;4;48;15;825,02;223,88;0;0;0;0;Rentway;Interrent
BE;Belgium;CRL;2020-02-01;2020-02-17;9;11;66;41;921,57;796,37;0;0;0;0;Rentway;Interrent
BE;Belgium;CRL;2020-02-01;2020-02-18;8;4;36;13;635,67;265,84;0;0;0;0;Rentway;Interrent
BE;Belgium;CRL;2020-02-01;2020-02-19;8;9;32;33;596,34;657,16;0;0;0;0;Rentway;Interrent
