CodigoPais;Zona;SucursalAlquiler;Mes;Fecha;Res_CY;Res_LY;Dias_CY;Dias_LY;Rental_rate_rev_CY;Rental_rate_rev_LY;Ancillaries_CY;Ancillaries_LY;SDR_CY;SDR_LY;Origin_App;Brand
BE;Belgium;BRT;1/1/20;1/1/20;0;7;0;13;0;415,5926;0;146,2745;0;0;Rentway;Interrent
BE;Belgium;BRT;1/1/20;2/1/20;0;2;0;6;0;107,0706;0;17,358;0;0;Rentway;Interrent
BE;Belgium;BRT;1/1/20;3/1/20;0;2;0;3;0;113,5757;0;16,52;0;0;Rentway;Interrent
BE;Belgium;BRT;1/1/20;4/1/20;0;1;0;1;0;40,2727;0;9,92;0;0;Rentway;Interrent
BE;Belgium;BRT;1/1/20;5/1/20;0;1;0;1;0;48,7059;0;0;0;0;Rentway;Interrent
BE;Belgium;BRT;1/1/20;10/1/20;0;1;0;2;0;90,0564;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;1/1/20;1/1/20;6;21;34;139;756,0505;2097,1972;63,614;296,6495;0;16,5289;Rentway;Interrent
BE;Belgium;BRU;1/1/20;2/1/20;11;21;79;172;1278,9078;2681,4536;170,6492;338,8357;66,53;97,8511;Rentway;Interrent
BE;Belgium;BRU;1/1/20;3/1/20;16;20;142;131;2025,5583;1482,0933;380,1346;256,1575;0;33,0578;Rentway;Interrent
BE;Belgium;BRU;1/1/20;4/1/20;9;9;75;99;1040,8994;1201,4828;144,6183;160,3364;33,0578;0;Rentway;Interrent
BE;Belgium;BRU;1/1/20;5/1/20;17;17;247;146;2869,4861;2050,1604;76,028;252,884;9,7041;80,167;Rentway;Interrent
BE;Belgium;BRU;1/1/20;6/1/20;23;22;111;98;2012,1074;1611,3211;211,5383;408,219;2016,5289;66,1156;Rentway;Interrent
BE;Belgium;BRU;1/1/20;7/1/20;28;24;125;128;2342,4159;1920,3017;429,7598;330,5738;16,5289;49,5878;Rentway;Interrent
BE;Belgium;BRU;1/1/20;8/1/20;11;22;40;98;858,5267;1688,5278;137,1578;566,0615;49,5867;67,2429;Rentway;Interrent
BE;Belgium;BRU;1/1/20;9/1/20;23;18;92;74;1779,1617;1213,278;380,9692;326,4205;49,5867;0;Rentway;Interrent
BE;Belgium;BRU;1/1/20;10/1/20;23;35;88;120;1636,1642;2134,3729;342,5669;439,2294;66,1156;50;Rentway;Interrent
BE;Belgium;BRU;1/1/20;11/1/20;12;13;52;67;1012,4798;1222,79;29,752;204,0743;16,5289;0;Rentway;Interrent
BE;Belgium;BRU;1/1/20;12/1/20;16;16;88;107;1565,198;1685,0596;376,843;294,1925;53,8264;16,5289;Rentway;Interrent
BE;Belgium;BRU;1/1/20;13/1/20;42;47;171;193;3442,0021;3160,8378;893,4217;1124,69;49,5867;33,0578;Rentway;Interrent
BE;Belgium;BRU;1/1/20;14/1/20;23;30;113;70;1940,5595;1286,8291;352,8991;296,6902;82,6478;0;Rentway;Interrent
BE;Belgium;BRU;1/1/20;15/1/20;21;31;63;92;1531,1265;2008,3138;398,34;413,1907;134,1012;66,1157;Rentway;Interrent
BE;Belgium;BRU;1/1/20;16/1/20;28;25;105;129;2121,0051;1873,5021;571,0522;516,4493;0;33,0718;Rentway;Interrent
BE;Belgium;BRU;1/1/20;17/1/20;25;28;93;111;1614,87;2127,3135;357,8109;745,4411;66,1178;66,1156;Rentway;Interrent
BE;Belgium;BRU;1/1/20;18/1/20;19;11;110;49;1737,6898;816,1575;266,9332;115,6955;66,5389;16,5289;Rentway;Interrent
BE;Belgium;BRU;1/1/20;19/1/20;22;11;155;92;2573,6346;1274,8657;701,6104;302,403;33,0578;16,5289;Rentway;Interrent
BE;Belgium;BRU;1/1/20;20/1/20;32;23;160;103;2931,2708;1744,4101;658,5867;259,4886;265,7023;82,6489;Rentway;Interrent
BE;Belgium;BRU;1/1/20;21/1/20;33;27;121;88;2755,911;1762,1946;736,7629;577,6411;446,2778;132,2345;Rentway;Interrent
BE;Belgium;BRU;1/1/20;22/1/20;16;30;47;108;1066,5225;2238,1478;244,6245;222,2692;0;116,1156;Rentway;Interrent
BE;Belgium;BRU;1/1/20;23/1/20;28;28;158;89;2658,3807;2003,4737;252,9019;321,4397;33,06;83,0589;Rentway;Interrent
BE;Belgium;BRU;1/1/20;24/1/20;31;23;119;79;2274,2407;1721,6893;243,7993;292,5376;33,0578;115,7078;Rentway;Interrent
BE;Belgium;BRU;1/1/20;25/1/20;33;13;177;51;2856,7816;1059,2697;380,9811;29,758;16,5289;0;Rentway;Interrent
BE;Belgium;BRU;1/1/20;26/1/20;29;12;227;81;3478,799;1337,5654;45,4612;169,424;16,53;99,18;Rentway;Interrent
BE;Belgium;BRU;1/1/20;27/1/20;46;38;196;152;3480,2638;3421,1362;100,0033;486,7942;0;33,59;Rentway;Interrent
BE;Belgium;BRU;1/1/20;28/1/20;24;15;99;42;1751,01;1258,75;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;1/1/20;29/1/20;20;19;71;143;1451,76;2542,63;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;1/1/20;30/1/20;23;19;91;103;1691,62;1710,63;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;1/1/20;31/1/20;21;26;92;104;1571,12;1730,25;0;0;0;0;Rentway;Interrent
BE;Belgium;CRL;1/1/20;1/1/20;7;20;31;77;656,8587;1793,6547;70,2478;806,6006;50;24,7189;Rentway;Interrent
BE;Belgium;CRL;1/1/20;2/1/20;3;15;12;88;248,3851;1733,6576;100,814;489,9808;0;83,0578;Rentway;Interrent
BE;Belgium;CRL;1/1/20;3/1/20;2;8;32;25;395,6911;696,4144;7,438;328,8612;0;0;Rentway;Interrent
BE;Belgium;CRL;1/1/20;4/1/20;8;2;62;10;899,6447;182,3471;296,6718;14,876;0;0;Rentway;Interrent
BE;Belgium;CRL;1/1/20;5/1/20;8;6;49;63;855,5272;1002,4701;70,23;78,5123;33,0578;0;Rentway;Interrent
BE;Belgium;CRL;1/1/20;6/1/20;4;12;31;42;535,058;1067,4342;137,9718;284,7151;66,5289;16,5289;Rentway;Interrent
BE;Belgium;CRL;1/1/20;7/1/20;12;11;67;30;1232,1551;755,5915;293,73;154,524;22,8;265,2005;Rentway;Interrent
BE;Belgium;CRL;1/1/20;8/1/20;13;14;96;39;1485,1403;1019,2843;252,0552;396,2969;66,1089;33,0589;Rentway;Interrent
BE;Belgium;CRL;1/1/20;9/1/20;16;9;42;35;977,2458;771,4595;363,645;483,3981;0;16,5289;Rentway;Interrent
BE;Belgium;CRL;1/1/20;10/1/20;24;19;81;83;1696,892;1610,9506;460,2989;275,2534;835,1272;99,1767;Rentway;Interrent
BE;Belgium;CRL;1/1/20;11/1/20;15;13;39;44;899,8089;1024,7369;362,7552;342,9744;66,5289;49,5889;Rentway;Interrent
BE;Belgium;CRL;1/1/20;12/1/20;12;8;70;68;1585,9544;891,3249;378,4835;197,5258;0;0;Rentway;Interrent
BE;Belgium;CRL;1/1/20;13/1/20;20;24;55;73;1484,6453;1587,9617;947,9173;618,9487;66,1156;16,5289;Rentway;Interrent
BE;Belgium;CRL;1/1/20;14/1/20;13;31;40;99;894,4069;2479,2067;380,1381;1067,6778;66,5289;99,1767;Rentway;Interrent
